Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
52.0,company invited,1,15.0,salaried,male,3,6.0,standard,3.0,single,4.0,0,2,0,2.0,senior manager,29328.0,1
25.0,self enquiry,2,8.0,salaried,female,2,3.0,basic,4.0,married,5.0,0,4,0,0.0,executive,17187.0,0
50.0,self enquiry,1,16.0,large business,male,3,4.0,standard,3.0,single,7.0,0,5,1,1.0,senior manager,25496.0,0
35.0,self enquiry,3,16.0,small business,male,2,4.0,standard,5.0,married,1.0,0,5,1,1.0,senior manager,25306.0,1
36.0,self enquiry,1,18.0,small business,female,2,4.0,standard,3.0,single,1.0,0,1,1,0.0,senior manager,23858.0,0
31.0,self enquiry,1,7.0,salaried,male,3,6.0,basic,3.0,divorced,5.0,0,4,1,1.0,executive,22511.0,0
37.0,self enquiry,1,6.0,salaried,female,2,3.0,basic,3.0,single,2.0,0,1,1,0.0,executive,17115.0,0
30.0,self enquiry,3,33.0,small business,male,2,3.0,deluxe,3.0,married,1.0,0,3,1,0.0,manager,20304.0,0
39.0,company invited,1,17.0,small business,male,4,4.0,basic,3.0,divorced,2.0,0,5,0,3.0,executive,21362.0,0
58.0,self enquiry,1,8.0,salaried,male,2,3.0,king,4.0,single,1.0,1,3,1,0.0,vp,34246.0,1
48.0,self enquiry,3,9.0,small business,female,3,4.0,deluxe,3.0,married,2.0,1,1,1,2.0,manager,23215.0,0
29.0,self enquiry,1,6.0,large business,male,3,4.0,basic,5.0,single,7.0,0,3,0,2.0,executive,17362.0,1
35.0,self enquiry,1,13.0,salaried,male,2,3.0,standard,3.0,single,4.0,0,3,0,0.0,senior manager,25221.0,0
30.0,self enquiry,1,23.0,small business,female,3,3.0,standard,5.0,divorced,2.0,1,4,0,2.0,senior manager,26916.0,0
41.0,self enquiry,3,7.0,small business,male,3,6.0,deluxe,3.0,married,4.0,1,3,1,1.0,manager,26135.0,0
46.0,self enquiry,1,9.0,salaried,female,4,5.0,basic,3.0,single,3.0,0,3,1,2.0,executive,20952.0,0
41.0,self enquiry,1,26.0,small business,male,2,4.0,deluxe,3.0,married,2.0,1,1,1,1.0,manager,21419.0,0
29.0,self enquiry,1,13.0,large business,female,2,3.0,basic,3.0,married,4.0,1,4,1,0.0,executive,31124.0,1
45.0,self enquiry,1,12.0,salaried,male,2,3.0,standard,5.0,divorced,5.0,1,3,0,0.0,senior manager,28245.0,0
42.0,self enquiry,3,20.0,small business,female,3,4.0,deluxe,3.0,single,1.0,0,3,1,0.0,manager,21244.0,0
44.0,self enquiry,3,16.0,small business,female,3,6.0,deluxe,3.0,single,2.0,0,2,1,2.0,manager,24024.0,1
40.0,self enquiry,1,13.0,small business,male,4,4.0,basic,5.0,divorced,2.0,1,2,1,2.0,executive,21082.0,1
33.0,self enquiry,1,13.0,small business,male,2,3.0,standard,3.0,divorced,1.0,0,4,0,0.0,senior manager,26691.0,0
46.0,self enquiry,3,16.0,small business,male,4,4.0,standard,5.0,married,6.0,1,1,0,1.0,senior manager,29439.0,0
39.0,company invited,1,9.0,salaried,female,4,2.0,deluxe,5.0,single,8.0,1,2,1,3.0,manager,24658.0,0
36.0,self enquiry,3,14.0,salaried,male,4,4.0,basic,3.0,divorced,3.0,0,3,1,1.0,executive,21082.0,0
19.0,self enquiry,1,9.0,small business,female,3,3.0,basic,4.0,single,2.0,0,3,1,0.0,executive,16483.0,0
32.0,self enquiry,3,20.0,small business,male,3,4.0,deluxe,5.0,married,4.0,0,1,0,2.0,manager,22911.0,1
25.0,company invited,1,9.0,large business,female,3,4.0,basic,3.0,single,3.0,1,3,1,2.0,executive,22438.0,0
46.0,self enquiry,1,6.0,small business,male,3,3.0,standard,5.0,married,1.0,0,1,0,2.0,senior manager,24396.0,0
28.0,self enquiry,3,15.0,salaried,male,3,3.0,deluxe,3.0,single,2.0,0,3,1,0.0,manager,20253.0,0
35.0,company invited,3,11.0,small business,female,4,4.0,deluxe,3.0,married,2.0,0,1,0,1.0,manager,25216.0,0
38.0,company invited,3,8.0,salaried,male,2,4.0,deluxe,3.0,married,4.0,0,5,1,1.0,manager,20249.0,0
40.0,company invited,1,9.0,large business,female,4,4.0,standard,3.0,single,2.0,0,1,1,3.0,senior manager,29616.0,0
35.0,self enquiry,3,6.0,small business,male,3,3.0,standard,4.0,divorced,2.0,0,4,1,2.0,senior manager,22295.0,0
32.0,self enquiry,3,14.0,small business,male,2,1.0,deluxe,3.0,divorced,2.0,0,5,0,0.0,manager,21209.0,0
20.0,self enquiry,1,32.0,salaried,female,3,2.0,basic,3.0,single,3.0,1,5,1,1.0,executive,21672.0,0
34.0,company invited,1,10.0,salaried,female,3,4.0,basic,3.0,married,3.0,1,1,1,2.0,executive,21587.0,0
33.0,company invited,1,23.0,salaried,female,4,6.0,basic,5.0,single,3.0,1,4,1,3.0,executive,22597.0,1
51.0,self enquiry,1,31.0,salaried,male,4,4.0,super deluxe,3.0,divorced,5.0,1,4,0,1.0,avp,32651.0,0
38.0,self enquiry,1,6.0,salaried,female,2,3.0,basic,5.0,single,4.0,0,2,1,1.0,executive,17619.0,0
43.0,company invited,1,16.0,small business,female,4,4.0,basic,3.0,single,3.0,0,4,1,2.0,executive,22351.0,0
37.0,self enquiry,1,25.0,salaried,male,3,3.0,basic,4.0,divorced,5.0,0,4,1,1.0,executive,18022.0,0
58.0,self enquiry,1,11.0,large business,female,2,4.0,standard,4.0,married,3.0,1,5,1,1.0,senior manager,25552.0,0
51.0,self enquiry,3,27.0,small business,male,3,3.0,deluxe,3.0,single,1.0,1,5,0,2.0,manager,20441.0,0
36.0,self enquiry,2,33.0,salaried,female,3,4.0,standard,3.0,single,3.0,1,1,1,1.0,senior manager,27515.0,0
30.0,self enquiry,3,11.0,salaried,female,2,3.0,standard,3.0,married,3.0,0,4,1,1.0,senior manager,24419.0,0
37.0,company invited,1,17.0,salaried,male,2,3.0,standard,3.0,married,2.0,1,3,1,1.0,senior manager,27185.0,0
25.0,self enquiry,1,6.0,small business,female,2,3.0,basic,4.0,single,2.0,0,3,1,0.0,executive,17096.0,0
40.0,self enquiry,1,9.0,large business,female,4,5.0,deluxe,3.0,single,3.0,0,1,1,2.0,manager,23231.0,0
42.0,company invited,1,14.0,salaried,male,3,3.0,king,3.0,married,2.0,0,5,1,1.0,vp,33430.0,0
39.0,self enquiry,1,7.0,salaried,female,3,4.0,basic,5.0,single,5.0,0,1,0,2.0,executive,21297.0,0
21.0,company invited,3,6.0,large business,female,3,4.0,basic,4.0,single,2.0,1,5,1,2.0,executive,17174.0,1
55.0,self enquiry,1,26.0,small business,female,4,4.0,deluxe,5.0,married,2.0,1,3,0,1.0,manager,24163.0,0
30.0,company invited,1,15.0,small business,male,3,3.0,deluxe,5.0,married,2.0,0,1,1,1.0,manager,18072.0,0
35.0,self enquiry,1,7.0,salaried,male,3,5.0,basic,3.0,married,3.0,1,1,1,2.0,executive,22300.0,0
27.0,self enquiry,1,13.0,salaried,female,3,5.0,basic,4.0,divorced,3.0,0,3,1,1.0,executive,21046.0,0
47.0,self enquiry,3,22.0,small business,male,3,6.0,deluxe,3.0,married,8.0,1,1,0,2.0,manager,22101.0,1
22.0,self enquiry,1,25.0,small business,male,3,3.0,basic,3.0,divorced,2.0,0,2,0,1.0,executive,17323.0,0
56.0,self enquiry,1,30.0,salaried,male,3,3.0,basic,3.0,single,2.0,0,3,0,0.0,executive,17587.0,1
51.0,company invited,3,7.0,salaried,male,4,4.0,deluxe,3.0,married,2.0,0,3,1,2.0,manager,25406.0,1
35.0,self enquiry,1,13.0,salaried,female,3,5.0,deluxe,4.0,married,8.0,0,3,0,2.0,manager,23183.0,0
36.0,self enquiry,1,12.0,salaried,male,2,3.0,basic,3.0,divorced,1.0,0,5,1,1.0,executive,18210.0,0
31.0,self enquiry,3,11.0,large business,male,2,3.0,deluxe,3.0,married,2.0,0,5,0,1.0,manager,23346.0,0
33.0,company invited,1,12.0,large business,male,4,4.0,basic,4.0,single,4.0,0,3,1,2.0,executive,21396.0,0
23.0,self enquiry,1,7.0,salaried,male,4,4.0,basic,3.0,single,2.0,0,3,0,3.0,executive,22053.0,0
41.0,self enquiry,3,26.0,small business,female,3,3.0,basic,4.0,single,2.0,1,4,0,1.0,executive,18140.0,1
34.0,self enquiry,1,9.0,salaried,female,3,4.0,basic,5.0,divorced,2.0,0,3,1,1.0,executive,21385.0,1
41.0,company invited,3,12.0,salaried,male,3,5.0,standard,5.0,married,7.0,1,5,0,1.0,senior manager,29153.0,0
32.0,self enquiry,3,6.0,salaried,male,2,5.0,deluxe,4.0,single,7.0,0,3,0,1.0,manager,21735.0,1
26.0,self enquiry,3,26.0,small business,male,3,5.0,basic,4.0,divorced,3.0,1,2,0,1.0,executive,21091.0,1
41.0,company invited,3,31.0,salaried,female,4,2.0,super deluxe,4.0,single,6.0,1,3,1,1.0,avp,31872.0,1
27.0,company invited,1,7.0,salaried,female,4,6.0,basic,3.0,married,5.0,0,4,1,1.0,executive,23042.0,0
32.0,company invited,3,9.0,salaried,male,3,4.0,deluxe,5.0,single,2.0,0,1,0,1.0,manager,24010.0,0
41.0,self enquiry,1,25.0,salaried,male,2,3.0,deluxe,5.0,married,3.0,0,2,1,0.0,manager,18072.0,0
28.0,company invited,2,6.0,salaried,male,2,3.0,basic,3.0,married,2.0,0,4,0,1.0,executive,17706.0,0
36.0,self enquiry,1,29.0,salaried,female,4,3.0,standard,4.0,married,2.0,0,5,1,2.0,senior manager,30674.0,0
35.0,self enquiry,1,12.0,salaried,male,2,5.0,deluxe,3.0,single,2.0,0,5,0,1.0,manager,21646.0,0
44.0,company invited,1,17.0,salaried,female,3,5.0,deluxe,3.0,married,3.0,0,3,0,1.0,manager,23935.0,0
48.0,company invited,3,34.0,salaried,female,4,2.0,deluxe,3.0,single,6.0,1,4,0,2.0,manager,25075.0,1
39.0,company invited,1,9.0,salaried,male,3,4.0,basic,3.0,married,3.0,1,5,1,1.0,executive,20380.0,0
28.0,self enquiry,1,8.0,salaried,male,3,4.0,basic,4.0,married,1.0,0,1,0,2.0,executive,18201.0,0
51.0,self enquiry,3,33.0,salaried,male,2,3.0,deluxe,3.0,single,2.0,1,5,1,1.0,manager,29026.0,1
44.0,self enquiry,3,6.0,small business,female,3,3.0,deluxe,5.0,married,6.0,1,1,1,1.0,manager,20454.0,0
37.0,self enquiry,1,8.0,large business,female,4,6.0,standard,5.0,married,4.0,1,1,1,1.0,senior manager,28930.0,0
38.0,company invited,1,32.0,small business,female,4,4.0,deluxe,3.0,married,5.0,1,3,1,3.0,manager,23127.0,0
34.0,company invited,1,15.0,salaried,male,3,3.0,deluxe,5.0,married,5.0,0,3,0,1.0,manager,20346.0,1
28.0,company invited,1,6.0,small business,male,2,4.0,basic,4.0,married,2.0,0,4,0,0.0,executive,17596.0,1
26.0,self enquiry,3,12.0,small business,male,3,5.0,deluxe,3.0,single,3.0,1,3,0,2.0,manager,24422.0,1
26.0,self enquiry,3,16.0,salaried,male,4,5.0,basic,5.0,divorced,5.0,0,1,1,1.0,executive,23078.0,1
40.0,self enquiry,3,10.0,small business,male,3,4.0,standard,3.0,divorced,1.0,0,2,1,0.0,senior manager,25855.0,0
28.0,self enquiry,1,8.0,salaried,male,3,4.0,basic,4.0,divorced,1.0,0,2,0,2.0,executive,18201.0,0
32.0,company invited,1,7.0,salaried,female,4,4.0,deluxe,5.0,divorced,3.0,0,5,1,3.0,manager,22826.0,0
55.0,company invited,1,8.0,salaried,male,3,3.0,standard,4.0,divorced,4.0,0,2,1,1.0,senior manager,25976.0,0
42.0,self enquiry,3,14.0,small business,male,2,3.0,deluxe,4.0,married,1.0,0,3,1,0.0,manager,21825.0,0
41.0,self enquiry,3,16.0,small business,male,3,4.0,deluxe,5.0,married,2.0,0,3,1,2.0,manager,24151.0,0
25.0,self enquiry,1,36.0,small business,male,4,4.0,basic,5.0,married,3.0,0,4,1,2.0,executive,22585.0,0
34.0,self enquiry,3,20.0,large business,female,2,3.0,basic,3.0,married,2.0,1,5,1,1.0,executive,17579.0,0
20.0,company invited,1,12.0,salaried,female,3,4.0,basic,3.0,single,2.0,1,1,0,0.0,executive,17926.0,1
27.0,self enquiry,1,13.0,salaried,female,3,5.0,basic,4.0,married,3.0,0,3,1,2.0,executive,21046.0,0
36.0,company invited,3,15.0,small business,female,4,5.0,standard,3.0,married,6.0,1,5,1,3.0,senior manager,29055.0,0
34.0,company invited,1,10.0,salaried,male,4,4.0,basic,5.0,single,3.0,1,5,1,1.0,executive,22026.0,1
46.0,self enquiry,1,28.0,small business,male,3,3.0,deluxe,3.0,married,2.0,1,5,1,2.0,manager,33789.0,1
30.0,self enquiry,1,32.0,large business,female,4,5.0,basic,4.0,married,7.0,0,3,1,3.0,executive,21224.0,1
40.0,self enquiry,1,31.0,small business,male,3,4.0,basic,4.0,married,3.0,1,1,0,1.0,executive,22582.0,1
23.0,self enquiry,1,12.0,salaried,male,3,1.0,basic,5.0,married,2.0,1,3,0,0.0,executive,16601.0,1
27.0,self enquiry,1,10.0,salaried,male,3,3.0,basic,3.0,married,2.0,0,4,1,1.0,executive,17517.0,0
54.0,self enquiry,1,15.0,salaried,female,3,3.0,deluxe,3.0,married,4.0,0,5,0,1.0,manager,17897.0,0
28.0,self enquiry,3,9.0,small business,male,3,4.0,basic,5.0,married,2.0,0,5,0,2.0,executive,21719.0,1
29.0,self enquiry,3,16.0,small business,male,2,3.0,basic,4.0,married,2.0,0,2,0,1.0,executive,17297.0,0
32.0,self enquiry,3,13.0,salaried,male,4,6.0,deluxe,3.0,divorced,6.0,1,3,1,2.0,manager,24850.0,1
56.0,self enquiry,3,7.0,salaried,male,4,4.0,standard,3.0,married,5.0,0,1,0,3.0,senior manager,28917.0,0
42.0,company invited,3,11.0,small business,male,3,4.0,deluxe,4.0,single,3.0,0,3,1,1.0,manager,28033.0,1
28.0,self enquiry,1,9.0,salaried,female,3,4.0,basic,5.0,married,3.0,0,3,1,2.0,executive,21019.0,0
37.0,company invited,3,15.0,small business,male,3,3.0,standard,4.0,married,2.0,0,1,1,2.0,senior manager,23834.0,0
38.0,self enquiry,1,9.0,salaried,male,4,5.0,basic,3.0,single,8.0,1,3,0,3.0,executive,20768.0,1
47.0,company invited,1,14.0,small business,female,2,4.0,deluxe,3.0,divorced,4.0,0,5,0,1.0,manager,23936.0,0
34.0,self enquiry,1,13.0,salaried,female,2,3.0,standard,4.0,single,1.0,0,3,1,0.0,senior manager,26994.0,0
38.0,self enquiry,1,8.0,small business,male,3,3.0,basic,3.0,married,7.0,1,4,0,2.0,executive,18057.0,0
31.0,self enquiry,3,13.0,salaried,male,2,4.0,standard,3.0,married,1.0,0,3,1,0.0,senior manager,26557.0,0
43.0,company invited,1,16.0,salaried,female,2,3.0,basic,3.0,single,1.0,0,5,0,1.0,executive,17455.0,0
41.0,self enquiry,1,20.0,salaried,male,2,3.0,basic,3.0,married,5.0,0,4,1,1.0,executive,17451.0,0
53.0,self enquiry,1,13.0,small business,female,2,3.0,king,3.0,married,4.0,0,1,1,1.0,vp,33606.0,0
34.0,self enquiry,1,8.0,salaried,male,2,4.0,deluxe,5.0,divorced,7.0,0,4,0,1.0,manager,20957.0,0
43.0,company invited,1,15.0,small business,male,3,3.0,deluxe,3.0,married,4.0,1,3,1,0.0,manager,20679.0,0
32.0,company invited,1,21.0,small business,female,2,3.0,deluxe,3.0,married,6.0,0,3,0,1.0,manager,21667.0,0
35.0,self enquiry,3,16.0,salaried,female,4,4.0,deluxe,3.0,divorced,3.0,0,2,1,3.0,manager,24392.0,0
36.0,self enquiry,1,12.0,salaried,female,2,2.0,deluxe,3.0,divorced,4.0,0,2,0,0.0,manager,18038.0,0
42.0,company invited,1,8.0,small business,male,2,3.0,basic,3.0,single,6.0,1,2,0,1.0,executive,17515.0,0
36.0,self enquiry,1,17.0,small business,female,3,4.0,deluxe,3.0,single,5.0,1,1,1,1.0,manager,24820.0,0
24.0,company invited,3,19.0,salaried,female,3,3.0,basic,4.0,divorced,2.0,0,1,0,0.0,executive,17033.0,0
43.0,self enquiry,3,15.0,small business,female,2,5.0,deluxe,3.0,single,1.0,0,1,0,0.0,manager,20346.0,1
33.0,self enquiry,3,9.0,small business,male,3,4.0,deluxe,4.0,divorced,2.0,1,1,0,2.0,manager,22756.0,0
32.0,company invited,1,16.0,small business,male,3,5.0,basic,5.0,single,2.0,1,3,1,1.0,executive,20999.0,1
27.0,company invited,1,9.0,salaried,male,3,4.0,basic,5.0,married,8.0,1,5,0,1.0,executive,20720.0,1
36.0,self enquiry,1,15.0,small business,male,2,4.0,deluxe,4.0,married,3.0,1,4,0,1.0,manager,23847.0,0
47.0,company invited,3,12.0,small business,male,4,4.0,deluxe,3.0,single,6.0,1,5,1,2.0,manager,24450.0,0
37.0,company invited,3,17.0,small business,male,3,4.0,standard,3.0,single,3.0,0,1,1,2.0,senior manager,28658.0,0
31.0,self enquiry,3,12.0,salaried,female,3,4.0,standard,3.0,married,4.0,0,4,1,2.0,senior manager,28097.0,0
35.0,company invited,1,17.0,salaried,male,3,2.0,deluxe,3.0,married,3.0,0,4,1,1.0,manager,23402.0,0
30.0,self enquiry,1,17.0,salaried,female,4,5.0,basic,5.0,single,8.0,1,5,1,1.0,executive,21082.0,1
47.0,company invited,1,7.0,small business,male,3,5.0,standard,5.0,married,4.0,1,1,1,2.0,senior manager,29351.0,0
46.0,company invited,3,11.0,small business,male,3,3.0,deluxe,3.0,single,5.0,1,5,1,1.0,manager,20772.0,0
54.0,self enquiry,1,8.0,large business,female,2,3.0,standard,3.0,divorced,1.0,0,4,1,0.0,senior manager,28549.0,0
47.0,self enquiry,1,9.0,large business,male,3,4.0,deluxe,3.0,married,4.0,0,1,0,1.0,manager,26057.0,0
31.0,self enquiry,2,28.0,salaried,male,2,5.0,basic,3.0,married,2.0,0,1,0,1.0,executive,24852.0,1
27.0,company invited,3,14.0,salaried,male,2,3.0,standard,3.0,single,2.0,0,1,1,0.0,senior manager,23726.0,0
28.0,self enquiry,3,15.0,small business,female,3,4.0,deluxe,4.0,divorced,3.0,0,2,0,1.0,manager,24892.0,0
44.0,self enquiry,1,15.0,salaried,male,3,3.0,basic,5.0,married,2.0,1,3,1,0.0,executive,17559.0,0
60.0,self enquiry,1,9.0,salaried,female,4,5.0,super deluxe,3.0,single,5.0,1,5,1,1.0,avp,32404.0,0
26.0,self enquiry,3,11.0,salaried,female,1,4.0,basic,3.0,single,1.0,0,1,0,0.0,executive,17966.0,0
26.0,self enquiry,1,9.0,salaried,male,3,4.0,basic,3.0,married,8.0,1,5,0,1.0,executive,22655.0,0
40.0,self enquiry,1,12.0,salaried,female,3,3.0,super deluxe,3.0,single,1.0,0,5,1,2.0,avp,28237.0,0
47.0,self enquiry,1,14.0,small business,male,4,4.0,standard,3.0,married,8.0,0,2,0,3.0,senior manager,29523.0,0
39.0,self enquiry,3,21.0,small business,male,3,3.0,super deluxe,5.0,single,1.0,0,1,1,2.0,avp,28341.0,0
49.0,company invited,1,7.0,small business,male,3,2.0,super deluxe,3.0,single,4.0,0,2,0,1.0,avp,35563.0,0
30.0,self enquiry,1,16.0,small business,female,3,4.0,basic,3.0,married,2.0,0,5,1,2.0,executive,21652.0,0
32.0,self enquiry,1,11.0,salaried,female,2,1.0,basic,3.0,married,4.0,0,5,1,1.0,executive,18312.0,0
47.0,company invited,3,9.0,small business,female,2,3.0,super deluxe,3.0,married,1.0,1,5,1,1.0,avp,28770.0,0
48.0,self enquiry,3,9.0,salaried,female,4,5.0,basic,3.0,single,3.0,1,1,0,1.0,executive,21972.0,0
28.0,self enquiry,1,21.0,salaried,male,3,4.0,basic,5.0,married,3.0,1,4,1,1.0,executive,20913.0,0
40.0,self enquiry,3,28.0,small business,male,3,4.0,deluxe,3.0,married,3.0,1,3,1,0.0,manager,21380.0,1
32.0,self enquiry,1,9.0,small business,female,3,3.0,deluxe,5.0,married,2.0,0,1,1,0.0,manager,21725.0,0
36.0,self enquiry,3,9.0,salaried,male,2,4.0,standard,3.0,divorced,2.0,1,2,1,0.0,senior manager,25325.0,1
51.0,self enquiry,1,6.0,salaried,male,3,3.0,basic,3.0,divorced,2.0,0,4,1,0.0,executive,17723.0,0
52.0,self enquiry,1,15.0,salaried,male,3,5.0,standard,4.0,divorced,7.0,0,3,1,2.0,senior manager,31168.0,0
35.0,self enquiry,1,24.0,salaried,female,3,4.0,basic,3.0,single,3.0,1,5,1,1.0,executive,23216.0,1
32.0,company invited,1,8.0,salaried,male,3,3.0,basic,3.0,single,1.0,0,5,1,1.0,executive,18068.0,0
46.0,self enquiry,1,15.0,salaried,male,4,4.0,deluxe,3.0,married,2.0,0,3,1,1.0,manager,22375.0,0
44.0,self enquiry,3,11.0,small business,female,3,5.0,standard,3.0,single,5.0,0,3,1,1.0,senior manager,28909.0,0
49.0,self enquiry,3,14.0,small business,male,4,4.0,deluxe,5.0,married,6.0,0,4,1,2.0,manager,24164.0,0
44.0,self enquiry,1,13.0,small business,female,4,5.0,deluxe,3.0,single,3.0,1,4,1,2.0,manager,22759.0,0
35.0,self enquiry,3,9.0,salaried,male,3,3.0,standard,3.0,married,7.0,0,5,0,1.0,senior manager,22823.0,0
52.0,company invited,3,13.0,small business,female,3,3.0,basic,3.0,married,3.0,1,4,1,2.0,executive,23446.0,1
35.0,self enquiry,3,16.0,salaried,female,4,4.0,deluxe,3.0,married,3.0,0,1,0,1.0,manager,24392.0,0
34.0,self enquiry,3,21.0,small business,female,3,3.0,deluxe,5.0,single,2.0,0,1,1,2.0,manager,21125.0,0
39.0,self enquiry,1,9.0,salaried,male,3,4.0,deluxe,3.0,divorced,2.0,0,2,0,2.0,manager,25231.0,0
30.0,self enquiry,3,34.0,small business,female,3,4.0,standard,3.0,divorced,3.0,0,3,1,2.0,senior manager,26317.0,1
52.0,self enquiry,3,9.0,small business,male,2,4.0,super deluxe,5.0,married,2.0,0,5,1,0.0,avp,31856.0,0
35.0,self enquiry,2,10.0,salaried,male,3,4.0,basic,3.0,divorced,2.0,0,2,1,2.0,executive,22415.0,0
45.0,self enquiry,3,7.0,small business,female,4,4.0,deluxe,5.0,married,7.0,1,1,1,2.0,manager,24132.0,0
34.0,self enquiry,1,21.0,small business,male,3,4.0,basic,3.0,divorced,7.0,1,2,0,2.0,executive,21114.0,1
34.0,company invited,1,23.0,large business,male,2,4.0,basic,3.0,married,1.0,1,5,1,1.0,executive,23500.0,1
24.0,self enquiry,1,17.0,small business,male,4,3.0,basic,3.0,single,3.0,0,2,1,2.0,executive,22183.0,0
31.0,self enquiry,3,9.0,large business,male,4,4.0,basic,4.0,divorced,3.0,0,3,1,3.0,executive,21154.0,0
41.0,self enquiry,3,8.0,salaried,female,3,3.0,super deluxe,5.0,married,1.0,0,5,1,2.0,avp,31595.0,0
44.0,self enquiry,1,6.0,small business,male,2,3.0,basic,3.0,single,7.0,1,4,0,1.0,executive,17436.0,0
35.0,self enquiry,1,14.0,salaried,male,2,1.0,basic,3.0,married,2.0,0,5,1,1.0,executive,17269.0,0
43.0,self enquiry,1,7.0,salaried,female,4,4.0,basic,5.0,married,5.0,0,3,1,2.0,executive,21254.0,0
36.0,company invited,1,15.0,salaried,female,3,4.0,deluxe,3.0,married,3.0,0,5,1,2.0,manager,22826.0,0
30.0,self enquiry,1,15.0,small business,male,2,4.0,basic,3.0,single,2.0,0,4,0,1.0,executive,17206.0,0
36.0,self enquiry,1,30.0,small business,female,2,4.0,basic,5.0,married,5.0,1,4,0,1.0,executive,22692.0,0
38.0,company invited,1,12.0,small business,female,3,5.0,deluxe,3.0,married,1.0,1,1,0,2.0,manager,20329.0,0
45.0,self enquiry,1,8.0,salaried,female,3,4.0,basic,3.0,single,2.0,0,3,1,0.0,executive,17274.0,0
43.0,company invited,2,9.0,small business,male,4,2.0,deluxe,5.0,married,2.0,0,1,1,2.0,manager,24950.0,0
59.0,company invited,1,20.0,salaried,female,2,3.0,standard,3.0,single,1.0,1,5,1,0.0,senior manager,25512.0,1
33.0,self enquiry,1,10.0,small business,female,2,4.0,basic,4.0,divorced,7.0,0,4,0,0.0,executive,17622.0,0
39.0,self enquiry,1,7.0,large business,female,4,4.0,standard,5.0,divorced,3.0,0,4,1,3.0,senior manager,32260.0,0
36.0,company invited,3,14.0,salaried,male,3,4.0,standard,5.0,single,2.0,0,2,0,2.0,senior manager,22587.0,0
41.0,self enquiry,3,11.0,small business,male,4,5.0,standard,3.0,divorced,2.0,0,2,1,1.0,senior manager,29533.0,0
19.0,self enquiry,1,15.0,salaried,male,2,3.0,basic,5.0,single,2.0,0,3,0,1.0,executive,17552.0,0
45.0,self enquiry,3,8.0,large business,male,2,5.0,deluxe,3.0,single,1.0,0,5,0,0.0,manager,21632.0,0
42.0,self enquiry,1,29.0,salaried,female,2,3.0,super deluxe,3.0,single,3.0,0,3,0,0.0,avp,30992.0,0
37.0,company invited,1,10.0,large business,male,3,4.0,basic,4.0,married,3.0,0,3,0,2.0,executive,22370.0,0
44.0,company invited,1,23.0,salaried,male,3,5.0,basic,3.0,single,3.0,0,4,1,1.0,executive,17290.0,0
33.0,self enquiry,1,6.0,salaried,female,2,4.0,deluxe,3.0,single,1.0,0,4,0,0.0,manager,21949.0,0
50.0,self enquiry,1,15.0,salaried,female,3,4.0,standard,4.0,divorced,6.0,0,4,0,1.0,senior manager,26081.0,0
37.0,self enquiry,1,15.0,large business,female,3,4.0,standard,3.0,married,3.0,0,4,1,1.0,senior manager,28774.0,0
49.0,company invited,1,8.0,salaried,male,2,3.0,king,3.0,married,4.0,0,3,1,0.0,vp,34161.0,0
59.0,self enquiry,1,9.0,salaried,male,3,4.0,basic,3.0,divorced,4.0,0,3,0,1.0,executive,17177.0,0
36.0,self enquiry,3,17.0,small business,female,3,4.0,deluxe,3.0,married,5.0,0,1,1,1.0,manager,21652.0,0
33.0,self enquiry,3,15.0,small business,female,3,3.0,deluxe,5.0,single,1.0,1,3,0,1.0,manager,23224.0,1
41.0,company invited,1,16.0,small business,female,3,4.0,standard,3.0,single,2.0,0,4,0,1.0,senior manager,32177.0,0
39.0,self enquiry,1,16.0,small business,male,3,3.0,super deluxe,5.0,married,2.0,1,3,1,2.0,avp,32068.0,0
32.0,self enquiry,3,27.0,salaried,female,4,6.0,deluxe,3.0,divorced,5.0,1,3,1,1.0,manager,23237.0,1
43.0,self enquiry,1,14.0,small business,female,4,2.0,deluxe,4.0,divorced,8.0,1,1,0,1.0,manager,21050.0,0
29.0,self enquiry,3,16.0,salaried,male,2,3.0,basic,3.0,single,2.0,0,4,0,0.0,executive,17642.0,0
27.0,self enquiry,1,12.0,salaried,male,2,4.0,basic,3.0,married,2.0,0,1,1,1.0,executive,17539.0,0
55.0,self enquiry,3,24.0,salaried,female,2,3.0,super deluxe,4.0,single,4.0,0,2,0,1.0,avp,31835.0,0
30.0,company invited,1,15.0,small business,male,3,3.0,deluxe,5.0,married,2.0,0,2,0,1.0,manager,18072.0,0
33.0,self enquiry,3,14.0,small business,male,2,3.0,deluxe,3.0,married,1.0,0,1,0,0.0,manager,22104.0,0
40.0,self enquiry,1,13.0,small business,male,3,5.0,standard,5.0,married,6.0,0,4,1,1.0,senior manager,28669.0,0
34.0,self enquiry,1,9.0,small business,male,4,4.0,basic,3.0,single,6.0,0,3,1,3.0,executive,21174.0,0
49.0,self enquiry,1,11.0,salaried,male,3,4.0,standard,3.0,single,3.0,0,5,1,2.0,senior manager,26576.0,0
30.0,company invited,1,17.0,salaried,female,4,4.0,basic,4.0,married,2.0,0,5,1,1.0,executive,21969.0,0
